#param, sd.noise, mean.vp.estimate, sd.vp.estimate, relative.uncertainty, bias 
250 , 0 , 45.95296 , 3.891652 , 8.468775 , -0.1450698 
250 , 0 , 46.59831 , 3.486729 , 7.482523 , 0.3331151 
250 , 0 , 46.20909 , 3.849605 , 8.33084 , 0.0929763 
250 , 0 , 46.68018 , 3.939308 , 8.438932 , 0.5586822 
250 , 0 , 46.41503 , 3.637312 , 7.836496 , 0.2988291 
250 , 0 , 46.11161 , 3.304023 , 7.165273 , 0.00103559 
250 , 0 , 46.45087 , 4.154729 , 8.94435 , 0.3530534 
250 , 0 , 46.12308 , 3.75321 , 8.137378 , -0.06054153 
250 , 0 , 46.29003 , 3.619192 , 7.818514 , 0.1208672 
250 , 0 , 45.64727 , 3.70909 , 8.125545 , -0.4851815 
500 , 0 , 46.56618 , 2.723392 , 5.848433 , 0.3770814 
500 , 0 , 46.09418 , 2.411029 , 5.230657 , -0.06444329 
500 , 0 , 46.44795 , 2.648763 , 5.702647 , 0.3068685 
500 , 0 , 46.27164 , 3.005943 , 6.496295 , 0.1119044 
500 , 0 , 46.17743 , 2.395831 , 5.188316 , 0.06781187 
500 , 0 , 46.80119 , 2.552584 , 5.454101 , 0.6108611 
500 , 0 , 46.20581 , 2.564767 , 5.550745 , 0.06026356 
500 , 0 , 46.04393 , 2.474092 , 5.373328 , -0.05935367 
500 , 0 , 46.44827 , 2.508201 , 5.399988 , 0.2960096 
500 , 0 , 45.59298 , 2.619657 , 5.745745 , -0.5429859 
750 , 0 , 45.96558 , 2.084019 , 4.533868 , -0.1737491 
750 , 0 , 46.2949 , 1.974477 , 4.264998 , 0.1506336 
750 , 0 , 46.36075 , 1.989085 , 4.29045 , 0.2134651 
750 , 0 , 45.95936 , 2.114033 , 4.599787 , -0.2260257 
750 , 0 , 46.46303 , 2.213304 , 4.763581 , 0.1847185 
750 , 0 , 46.13801 , 2.366053 , 5.128208 , -0.04681452 
750 , 0 , 46.58054 , 2.146258 , 4.607628 , 0.5504097 
750 , 0 , 45.85645 , 2.054821 , 4.480986 , -0.1640568 
750 , 0 , 46.56781 , 2.301005 , 4.941193 , 0.4401491 
750 , 0 , 46.29017 , 2.270174 , 4.904225 , 0.1919828 
1000 , 0 , 46.30383 , 1.77875 , 3.841476 , 0.1316912 
1000 , 0 , 46.39667 , 1.834446 , 3.95383 , 0.263226 
1000 , 0 , 46.01568 , 1.665381 , 3.619159 , -0.06403781 
1000 , 0 , 46.18583 , 1.716188 , 3.715831 , -0.04568969 
1000 , 0 , 46.30418 , 1.829839 , 3.951779 , 0.1568091 
1000 , 0 , 46.09208 , 1.946503 , 4.223075 , -0.00240938 
1000 , 0 , 46.30892 , 1.735576 , 3.747821 , 0.2013314 
1000 , 0 , 46.26493 , 1.563697 , 3.379874 , 0.07611535 
1000 , 0 , 46.54088 , 1.57885 , 3.392393 , 0.4002366 
1000 , 0 , 46.11997 , 1.895224 , 4.109336 , 0.02958004 
5 , 0.01 , 48.14874 , 28.58332 , 59.36463 , 2.70392 
5 , 0.01 , 41.78801 , 27.5487 , 65.92488 , -3.81658 
5 , 0.01 , 45.51674 , 27.0028 , 59.32499 , 0.003283639 
5 , 0.01 , 47.56109 , 28.61891 , 60.17295 , 1.972664 
5 , 0.01 , 45.13835 , 25.24262 , 55.92278 , -0.5161234 
5 , 0.01 , 45.89128 , 29.23683 , 63.7089 , 0.2768809 
5 , 0.01 , 52.24092 , 27.86869 , 53.34648 , 6.663981 
5 , 0.01 , 42.83015 , 27.75843 , 64.8105 , -2.745141 
5 , 0.01 , 43.18527 , 27.1348 , 62.83346 , -2.282453 
5 , 0.01 , 46.22647 , 27.27688 , 59.00705 , 0.7432511 
10 , 0.01 , 48.37622 , 20.79079 , 42.97728 , 2.777854 
10 , 0.01 , 44.72125 , 18.51881 , 41.40943 , -0.8329303 
10 , 0.01 , 48.10024 , 19.79844 , 41.16079 , 2.495158 
10 , 0.01 , 44.82747 , 18.20701 , 40.61575 , -0.6329058 
10 , 0.01 , 45.41745 , 19.99665 , 44.02857 , -0.1919159 
10 , 0.01 , 45.59756 , 18.90278 , 41.45568 , 0.04678413 
10 , 0.01 , 42.07192 , 18.11467 , 43.05644 , -3.420372 
10 , 0.01 , 43.23277 , 15.7881 , 36.51882 , -2.33212 
10 , 0.01 , 48.66654 , 19.65271 , 40.3824 , 3.234259 
10 , 0.01 , 46.06699 , 18.74557 , 40.69197 , 0.527148 
25 , 0.01 , 46.38702 , 12.48183 , 26.90802 , 0.901423 
25 , 0.01 , 46.54555 , 12.6419 , 27.16027 , 1.04231 
25 , 0.01 , 46.75223 , 14.18508 , 30.34097 , 1.175423 
