#param, sd.noise, populationlevel.r2, mean.r2.resampling, sd.r2.resampling, bs.r2, bs.sd, bs.lower, bs.upper
0.9 , 0.05 , 0.3456225 , 0.00789122 , 0.01127466 , 0.02743157 , 0.02137232 , 0.0008378593 , 0.07918541 
0.9 , 0.05 , 0.3461992 , 0.01022386 , 0.01345772 , 0.07284496 , 0.03903356 , 0.01264358 , 0.1612986 
0.9 , 0.05 , 0.3457393 , 0.01036862 , 0.01094036 , 0.01772147 , 0.01672019 , 9.036943e-05 , 0.06140908 
0.9 , 0.05 , 0.3446221 , 0.01169554 , 0.01469509 , 0.009891209 , 0.01282827 , 1.898432e-05 , 0.04406892 
0.9 , 0.05 , 0.3450009 , 0.01032936 , 0.01114389 , 0.03915039 , 0.0269305 , 0.002846045 , 0.09908672 
0.9 , 0.05 , 0.3446025 , 0.008655813 , 0.01002292 , 0.004671413 , 0.006182184 , 8.367298e-06 , 0.02170526 
0.9 , 0.05 , 0.34568 , 0.008136526 , 0.01069014 , 0.007917046 , 0.01004411 , 9.588644e-06 , 0.03557852 
0.9 , 0.05 , 0.3451863 , 0.01024069 , 0.01382643 , 0.009034852 , 0.01087724 , 1.843731e-05 , 0.03777762 
0.9 , 0.05 , 0.3448531 , 0.008798912 , 0.01275723 , 0.006652323 , 0.009578883 , 5.31893e-06 , 0.03235404 




 
