#param, sd.noise, populationlevel.r2, mean.r2.resampling, sd.r2.resampling, bs.r2, bs.sd, bs.lower, bs.upper 
1000 , 0.05 , 0.3448495 , 0.3464106 , 0.01928644 , 0.3523992 , 0.01983422 , 0.3145267 , 0.3922137 
1000 , 0.05 , 0.3456644 , 0.3480129 , 0.01756646 , 0.3413285 , 0.01902245 , 0.3064987 , 0.383013 
1000 , 0.05 , 0.3458801 , 0.3448933 , 0.01686304 , 0.358362 , 0.01902599 , 0.3212085 , 0.397335 
1000 , 0.05 , 0.3462512 , 0.3476188 , 0.01891357 , 0.3401092 , 0.01930875 , 0.3026818 , 0.3777667 










