#param, sd.noise, mean.vp.estimate, sd.vp.estimate, relative.uncertainty, bias 
0.3 , 0 , 30.53019 , 4.391327 , 14.38356 , -15.53484 
0.3 , 0 , 30.59338 , 3.965597 , 12.96227 , -15.53163 
0.3 , 0 , 30.69543 , 4.040836 , 13.16429 , -15.48508 
0.3 , 0 , 31.01193 , 4.223153 , 13.61784 , -15.16813 
0.3 , 0 , 31.51096 , 4.225641 , 13.41007 , -14.65997 
0.3 , 0 , 31.13677 , 4.28857 , 13.77333 , -14.99292 
0.3 , 0 , 31.10647 , 4.506757 , 14.48817 , -15.09627 
0.3 , 0 , 30.98411 , 4.597995 , 14.83985 , -15.18963 
0.4 , 0 , 25.00106 , 2.86198 , 11.44744 , -21.10017 
0.4 , 0 , 24.66835 , 3.171107 , 12.85496 , -21.52492 
0.4 , 0 , 24.84493 , 3.50762 , 14.11805 , -21.29719 
0.4 , 0 , 25.4322 , 3.218795 , 12.65638 , -20.7516 
0.4 , 0 , 25.01525 , 3.124669 , 12.49106 , -21.10523 
0.4 , 0 , 25.29903 , 3.119745 , 12.33148 , -20.85433 
0.4 , 0 , 25.31508 , 3.845601 , 15.19095 , -20.77483 
0.4 , 0 , 24.53389 , 3.330078 , 13.57338 , -21.55503 
0.4 , 0 , 25.44847 , 3.925045 , 15.4235 , -20.73643 
0.4 , 0 , 24.51194 , 3.536645 , 14.42826 , -21.59481 
0.5 , 0 , 19.34166 , 2.840067 , 14.68368 , -26.88008 
0.5 , 0 , 18.79465 , 2.789859 , 14.8439 , -27.35565 
0.5 , 0 , 19.27489 , 2.888808 , 14.98742 , -26.83132 
0.5 , 0 , 18.40585 , 2.595803 , 14.10314 , -27.82312 
0.5 , 0 , 19.10784 , 3.526181 , 18.4541 , -27.02108 
0.5 , 0 , 19.31515 , 2.718554 , 14.07472 , -26.82986 
0.5 , 0 , 19.51987 , 2.501072 , 12.81295 , -26.73246 
0.5 , 0 , 19.36923 , 2.784104 , 14.37385 , -26.74818 
0.5 , 0 , 18.96473 , 2.753897 , 14.52115 , -27.15118 
0.5 , 0 , 19.07973 , 2.427021 , 12.72042 , -27.08169 
0.6 , 0 , 12.86061 , 2.066952 , 16.07196 , -33.28468 
0.6 , 0 , 13.21911 , 1.976913 , 14.95496 , -32.94603 
0.6 , 0 , 13.07909 , 1.911968 , 14.61851 , -33.11387 
0.6 , 0 , 13.33237 , 1.865049 , 13.98887 , -32.85735 
0.6 , 0 , 13.21715 , 1.884392 , 14.25717 , -32.88221 
0.6 , 0 , 13.1565 , 1.651132 , 12.54993 , -32.98574 
0.6 , 0 , 13.25006 , 2.033902 , 15.35014 , -33.08356 
0.6 , 0 , 13.10685 , 1.738324 , 13.26272 , -33.0859 
0.6 , 0 , 13.1381 , 1.706181 , 12.98652 , -33.03191 
0.6 , 0 , 13.20769 , 1.97443 , 14.94909 , -32.87258 
0.7 , 0 , 8.215014 , 1.278382 , 15.56153 , -37.93089 
0.7 , 0 , 7.911908 , 1.213707 , 15.34025 , -38.26028 
0.7 , 0 , 7.746334 , 1.005685 , 12.98272 , -38.32922 
0.7 , 0 , 7.977495 , 1.342805 , 16.83241 , -38.29325 
0.7 , 0 , 7.841568 , 1.121865 , 14.30664 , -38.24476 
0.7 , 0 , 8.024015 , 1.110564 , 13.8405 , -38.28257 
0.7 , 0 , 8.052187 , 1.227545 , 15.24486 , -38.00507 
0.7 , 0 , 8.044565 , 1.216512 , 15.12215 , -38.08214 
0.7 , 0 , 8.131069 , 1.148438 , 14.12407 , -38.15718 
0.7 , 0 , 7.790828 , 1.134855 , 14.56655 , -38.38309 
0.8 , 0 , 3.697492 , 0.6115978 , 16.54088 , -42.44145 
0.8 , 0 , 3.731014 , 0.6244335 , 16.7363 , -42.45392 
0.8 , 0 , 3.726161 , 0.612892 , 16.44835 , -42.42761 
0.8 , 0 , 3.716003 , 0.6482066 , 17.44365 , -42.49219 
0.8 , 0 , 3.798833 , 0.6611584 , 17.40425 , -42.29891 
0.8 , 0 , 3.738072 , 0.6923937 , 18.52275 , -42.44777 
0.8 , 0 , 3.789191 , 0.6597213 , 17.41061 , -42.29104 
0.8 , 0 , 3.792583 , 0.6039092 , 15.92343 , -42.32507 
0.8 , 0 , 3.750783 , 0.6510047 , 17.3565 , -42.45701 
0.8 , 0 , 3.747848 , 0.5790618 , 15.45051 , -42.42685 
0.9 , 0 , 0.9543326 , 0.2308968 , 24.19458 , -45.21239 
0.9 , 0 , 1.002928 , 0.2369101 , 23.62184 , -45.1539 
0.9 , 0 , 0.9392252 , 0.2536778 , 27.00926 , -45.25397 
0.9 , 0 , 1.00404 , 0.240187 , 23.92205 , -45.06269 
0.9 , 0 , 1.006388 , 0.216064 , 21.46927 , -45.19972 
0.9 , 0 , 0.9432985 , 0.2407109 , 25.518 , -45.15845 
0.9 , 0 , 0.9906814 , 0.2260958 , 22.82226 , -45.26671 
0.9 , 0 , 0.9695776 , 0.2555897 , 26.36094 , -45.14661 
0.9 , 0 , 0.9845086 , 0.2352794 , 23.89816 , -45.12239 
