#param, sd.noise, mean.vp.estimate, sd.vp.estimate, relative.uncertainty, bias 
0.6 , 0.1 , 10.39319 , 4.456154 , 42.87572 , 1.03125 
0.6 , 0.1 , 9.993776 , 4.278958 , 42.81623 , 0.6596109 
0.6 , 0.1 , 9.92493 , 4.307579 , 43.40161 , 0.5766608 
0.6 , 0.1 , 9.632291 , 3.872194 , 40.20014 , 0.3770836 
0.6 , 0.1 , 10.15586 , 4.283014 , 42.17283 , 0.7026086 
0.7 , 0.1 , 11.95901 , 4.594237 , 38.41654 , -0.3363954 
0.7 , 0.1 , 13.15818 , 5.352799 , 40.68039 , 0.9073802 
0.7 , 0.1 , 12.83376 , 4.869125 , 37.93998 , 0.5115356 
0.7 , 0.1 , 12.75301 , 5.19587 , 40.7423 , 0.4866529 
0.7 , 0.1 , 12.76002 , 5.250294 , 41.14645 , 0.556637 
0.7 , 0.1 , 13.30293 , 5.849613 , 43.97237 , 0.952256 
0.7 , 0.1 , 12.33089 , 5.181489 , 42.02039 , 0.02390626 
0.7 , 0.1 , 12.89549 , 4.210726 , 32.65272 , 0.6034422 
0.7 , 0.1 , 13.19533 , 5.025465 , 38.08518 , 0.9024226 
0.7 , 0.1 , 12.16698 , 5.186016 , 42.62369 , -0.1484864 
0.8 , 0.1 , 15.03521 , 5.275269 , 35.0861 , -0.1444894 
0.8 , 0.1 , 15.26107 , 4.97634 , 32.60807 , 0.1189951 
0.8 , 0.1 , 15.3742 , 5.263837 , 34.23813 , 0.1088302 
0.8 , 0.1 , 15.28046 , 5.521856 , 36.13672 , 0.1397499 
0.8 , 0.1 , 15.32472 , 5.027396 , 32.80579 , 0.04847018 
0.8 , 0.1 , 15.7385 , 5.838995 , 37.10007 , 0.5934611 
0.8 , 0.1 , 14.91955 , 4.854294 , 32.53646 , -0.2772087 
0.8 , 0.1 , 14.1711 , 5.413162 , 38.19861 , -0.9909157 
0.8 , 0.1 , 14.78126 , 5.260275 , 35.58747 , -0.319651 
0.8 , 0.1 , 15.91586 , 5.999573 , 37.69556 , 0.7670205 
0.9 , 0.1 , 18.41142 , 6.372298 , 34.61057 , 0.4849565 
0.9 , 0.1 , 18.62246 , 6.077195 , 32.63369 , 0.6721865 
0.9 , 0.1 , 18.47973 , 5.673674 , 30.70214 , 0.5477046 
0.9 , 0.1 , 17.54856 , 4.991696 , 28.44505 , -0.3800188 
0.9 , 0.1 , 17.59447 , 5.678579 , 32.27479 , -0.3258026 
0.9 , 0.1 , 18.49098 , 5.661697 , 30.61869 , 0.6545842 
0.9 , 0.1 , 17.53155 , 5.533603 , 31.56369 , -0.4997401 
0.9 , 0.1 , 18.51418 , 5.792158 , 31.28499 , 0.5504875 
0.9 , 0.1 , 18.97559 , 5.675783 , 29.91097 , 0.9503154 
0.9 , 0.1 , 18.54285 , 6.017071 , 32.44955 , 0.4636164 
1 , 0.1 , 19.54837 , 6.279679 , 32.1238 , -0.7402647 
1 , 0.1 , 20.6148 , 6.241941 , 30.27894 , 0.3381521 
1 , 0.1 , 20.60231 , 5.81756 , 28.23742 , 0.3229395 
1 , 0.1 , 20.98838 , 6.335671 , 30.18656 , 0.6437245 
1 , 0.1 , 19.83215 , 6.215864 , 31.34235 , -0.465034 
1 , 0.1 , 20.04483 , 5.895778 , 29.41296 , -0.3362282 
1 , 0.1 , 21.46967 , 6.881821 , 32.05368 , 1.017881 
1 , 0.1 , 21.29058 , 5.749875 , 27.00666 , 0.9400454 
1 , 0.1 , 20.20344 , 7.396202 , 36.60862 , -0.1061821 
1 , 0.1 , 21.03402 , 6.686847 , 31.79063 , 0.6174508 

